response,token,correct,contrast,vib_style,offset
va,va,1,vf,ctrl,-200
pa,ba,0,vs,ctrl,-100
ba,pa,0,vs,amp,-300
pa,ba,0,vs,ctrl,50
va,va,1,vf,ctrl,-200
va,va,0,vf,ctrl,-200
va,va,1,vf,ctrl,-200
va,va,0,vf,ctrl,-200
va,va,1,vf,ctrl,-200
va,va,1,vf,ctrl,-200
va,va,1,vf,ctrl,-200
pa,ba,0,vs,ctrl,-100
pa,ba,0,vs,ctrl,-100
pa,ba,0,vs,ctrl,-100
pa,ba,0,vs,ctrl,-100
pa,ba,0,vs,ctrl,50
pa,ba,0,vs,ctrl,50
pa,ba,0,vs,ctrl,50
pa,ba,1,vs,ctrl,50
pa,ba,0,vs,ctrl,50
pa,ba,1,vs,ctrl,50
