ID,p0,p1,contrast,relative_ID,phonemic_contrast,postvocalic_consonant,edit success? (F),edit success? (M),M or F re-record,notes,,Legend,,
70,deed,dad,Vhl,11,/i/ v /æ/,0,,,,,,,,
71,ease,as,Vhl,12,/i/ v /æ/,0,,,,,,,,
72,beam,bum,Vhl,13,/i/ v /ʌ/,0,,,,,,,,
73,beef,buff,Vhl,14,/i/ v /ʌ/,0,,,,,,,,
74,bleed,blood,Vhl,15,/i/ v /ʌ/,0,,,,,,,,
75,cheek,chuck,Vhl,16,/i/ v /ʌ/,0,,,,,,,,
76,clique,cluck,Vhl,17,/i/ v /ʌ/,0,,,,,,,,
77,dream,drum,Vhl,18,/i/ v /ʌ/,0,,,,,,,,
78,heel,hull,Vhl,19,/i/ v /ʌ/,0,,,,,,,,
79,league,lug,Vhl,20,/i/ v /ʌ/,0,,,,,,,,
80,leaky,lucky,Vhl,21,/i/ v /ʌ/,0,,,,,,,,
81,meet,mutt,Vhl,22,/i/ v /ʌ/,0,,,,,,,,
82,peace,pus,Vhl,23,/i/ v /ʌ/,0,,,,,,,,
83,streak,struck,Vhl,24,/i/ v /ʌ/,0,,,,,,,,
84,teach,touch,Vhl,25,/i/ v /ʌ/,0,,,,,,,,
85,teens,tons,Vhl,26,/i/ v /ʌ/,0,,,,,,,,
86,chick,chuck,Vhl,27,/ɪ/ v /ʌ/ ,0,,,,,,,,
87,bin,bun,Vhl,28,/ɪ/ v /ʌ/ ,0,,,,,,,,
88,begin,begun,Vhl,29,/ɪ/ v /ʌ/ ,0,,,,,,,,
89,hard,hood,Vhl,30,/ɑ/ v /ʊ/,0,,,,,,,,
90,shard,should,Vhl,31,/ɑ/ v /ʊ/,0,,,,,,,,
91,shark,shook,Vhl,32,/ɑ/ v /ʊ/,0,,,,,,,,
92,nark,nook,Vhl,33,/ɑ/ v /ʊ/,0,,,,,,,,
93,khaki,cookie,Vhl,34,/ɑ/ v /ʊ/,0,,,,,,,,
94,fart,foot,Vhl,35,/ɑ/ v /ʊ/,0,,,,,,,,
95,bark,book,Vhl,36,/ɑ/ v /ʊ/,0,,,,,,,,
96,prod,prude,Vhl,37,/ɒ/ v /u/,0,,,,,,,,
97,prof,proof,Vhl,38,/ɒ/ v /u/,0,,,,,,,,
98,stop,stoop,Vhl,39,/ɒ/ v /u/,0,,,,,,,,
99,was,woos,Vhl,40,/ɒ/ v /u/,0,,,,,,,,
100,tot,toot,Vhl,41,/ɒ/ v /u/,0,,,,,,,,
101,sop,soup,Vhl,42,/ɒ/ v /u/,0,,,,,,,,
102,loss,loose,Vhl,43,/ɒ/ v /u/,0,,,,,,,,
103,lop,loop,Vhl,44,/ɒ/ v /u/,0,,,,,,,,
104,fit,fat,Vhl,45,/ɪ/ v /æ/ ,0,,,,,,,,
105,dim,damn,Vhl,46,/ɪ/ v /æ/ ,0,,,,,,,,
106,chip,chap,Vhl,47,/ɪ/ v /æ/ ,0,,,,,,,,
107,limb,lam,Vhl,48,/ɪ/ v /æ/ ,0,,,,,,,,
108,miss,mass,Vhl,49,/ɪ/ v /æ/ ,0,,,,,,,,
109,nip,knap,Vhl,50,/ɪ/ v /æ/ ,0,,,,,,,,
110,pill,pal,Vhl,51,/ɪ/ v /æ/ ,0,,,,,,,,
111,ring,rang,Vhl,52,/ɪ/ v /æ/ ,0,,,,,,,,
112,six,sax,Vhl,53,/ɪ/ v /æ/ ,0,,,,,,,,
113,slick,slack,Vhl,54,/ɪ/ v /æ/ ,0,,,,,,,,
114,swim,swam,Vhl,55,/ɪ/ v /æ/ ,0,,,,,,,,
115,tick,tack,Vhl,56,/ɪ/ v /æ/ ,0,,,,,,,,
116,trim,tram,Vhl,57,/ɪ/ v /æ/ ,0,,,,,,,,
117,wiggle,waggle,Vhl,58,/ɪ/ v /æ/ ,0,,,,,,,,
118,wink,wank,Vhl,59,/ɪ/ v /æ/ ,0,,,,,,,,
119,zips,zaps,Vhl,60,/ɪ/ v /æ/ ,0,ALL COMPLETE!,,,,,,,
120,bought,bawd,vs,1,/t/ v /d/,1,,,,,,,,
121,at,add,vs,2,/t/ v /d/,1,,,,,,,,
122,atom,Adam,vs,3,/t/ v /d/,1,,,,,,,,
123,bat,bad,vs,4,/t/ v /d/,1,,,,,,,,
124,Bart,bard,vs,5,/t/ v /d/,1,,,,,,,,
125,bet,bed,vs,6,/t/ v /d/,1,,,,,,,,
126,boot,booed,vs,7,/t/ v /d/,1,,,,,,,,
127,bleat,bleed,vs,8,/t/ v /d/,1,,,,,,,,
128,cot,cod,vs,9,/t/ v /d/,1,,,,,,,,
129,cat,cad,vs,10,/t/ v /d/,1,,,,,,,,
130,clot,clod,vs,11,/t/ v /d/,1,,,,,,,,
131,fret,fred,vs,12,/t/ v /d/,1,,,,,,,,
132,tab,dab,vs,13,/t/ v /d/,0,,,,,,,,
133,tale,dale,vs,14,/t/ v /d/,0,,,,,,,,
134,tame,dame,vs,15,/t/ v /d/,0,,,,,,,,
135,tan,Dan,vs,16,/t/ v /d/,0,,,,,,,,
136,time,dime,vs,17,/t/ v /d/,0,,,,,,,,
137,toll,dole,vs,18,/t/ v /d/,0,,,,,,,,
138,tomb,doom,vs,19,/t/ v /d/,0,,,,,,,,
139,ton,done,vs,20,/t/ v /d/,0,,,,,,,,
140,town,down,vs,21,/t/ v /d/,0,,,,,,,,
141,trill,drill,vs,22,/t/ v /d/,0,,,,,,,,
142,try,dry,vs,23,/t/ v /d/,0,,,,,,,,
143,vent,vend,vs,24,/t/ v /d/,1,,,,,,,,
144,kate,gait,vs,25,/k/ v /g/,0,,,,,,,,
145,kill,gill,vs,26,/k/ v /g/,0,,,,,,,,
146,Kay,gay,vs,27,/k/ v /g/,0,,,,,,,,
147,Kremlin,gremlin,vs,28,/k/ v /g/,0,,,,,,,,
148,league,leek,vs,29,/k/ v /g/,1,,,,,,,,
149,lock,log,vs,30,/k/ v /g/,1,,,,,,,,
