pID,cond,accuracy
6,ctrl,0.6333333333333333
6,amp,0.69999999999999996
3,ctrl,0.59999999999999998
3,amp,0.875
4,ctrl,0.72222222222222221
4,amp,0.74444444444444446
2,ctrl,0.56666666666666665
2,amp,0.6333333333333333
1,ctrl,0.66666666666666663
1,amp,0.76666666666666672
